Orden;Tipo Contenedor;Modelo;Lote;Distrito;Barrio;Carga;Coordenda X;Coordenada Y;Latitud;Longitud;Código Situado;Dirección
1;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453579,583;4472272,06;40,399762223566;-3,547023187299;CS_194_072;CALLE FERENC PUSKAS, 219
2;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453579,583;4472272,06;40,399762223566;-3,547023187299;CS_194_072;CALLE FERENC PUSKAS, 219
3;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453597,477;4472311,149;40,400115364603;-3,546815180757;CS_194_010;CALLE FERENC PUSKAS, 219
4;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453597,477;4472311,149;40,400115364603;-3,546815180757;CS_194_010;CALLE FERENC PUSKAS, 219
5;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,48;4472317,8;40,400175282080;-3,546815630198;CL_194_006;CALLE FERENC PUSKAS, 231
6;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,48;4472317,8;40,400175282080;-3,546815630198;CL_194_006;CALLE FERENC PUSKAS, 231
7;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,48;4472317,8;40,400175282080;-3,546815630198;CL_194_006;CALLE FERENC PUSKAS, 231
8;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,48;4472317,8;40,400175282080;-3,546815630198;CL_194_006;CALLE FERENC PUSKAS, 231
9;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,48;4472317,8;40,400175282080;-3,546815630198;CL_194_006;CALLE FERENC PUSKAS, 231
10;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453597,49;4472201;40,399123058557;-3,546806999013;CS_194_048;CALLE FERENC PUSKAS, 201
11;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453597,49;4472201;40,399123058557;-3,546806999013;CS_194_048;CALLE FERENC PUSKAS, 201
12;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453451,411;4472567,773;40,402419076923;-3,548555137804;CS_194_050;CALLE SUERTES DE LA VILLA, 14
13;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453451,411;4472567,773;40,402419076923;-3,548555137804;CS_194_050;CALLE SUERTES DE LA VILLA, 14
14;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453308,039;4472916,333;40,405551141259;-3,550270211456;CL_194_053;CALLE CERRO DEL CAMPO, 31
15;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453308,039;4472916,333;40,405551141259;-3,550270211456;CL_194_053;CALLE CERRO DEL CAMPO, 31
16;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453308,039;4472916,333;40,405551141259;-3,550270211456;CL_194_053;CALLE CERRO DEL CAMPO, 31
17;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453386,209;4473122,058;40,407408847419;-3,549364077435;CL_194_067;CALLE CERRO DEL MONTE, 111
18;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453386,209;4473122,058;40,407408847419;-3,549364077435;CL_194_067;CALLE CERRO DEL MONTE, 111
19;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453386,209;4473122,058;40,407408847419;-3,549364077435;CL_194_067;CALLE CERRO DEL MONTE, 111
20;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453699,163;4472639,228;40,403076612000;-3,545640810349;CS_194_058;CALLE CUESTA DEL VILLORIO, 50
21;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453699,163;4472639,228;40,403076612000;-3,545640810349;CS_194_058;CALLE CUESTA DEL VILLORIO, 50
22;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,491;4472206,059;40,399168633973;-3,546807355962;CL_194_044;CALLE FERENC PUSKAS, 201
23;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,491;4472206,059;40,399168633973;-3,546807355962;CL_194_044;CALLE FERENC PUSKAS, 201
24;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,491;4472206,059;40,399168633973;-3,546807355962;CL_194_044;CALLE FERENC PUSKAS, 201
25;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,491;4472206,059;40,399168633973;-3,546807355962;CL_194_044;CALLE FERENC PUSKAS, 201
26;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453451,052;4472003,354;40,397334338807;-3,548518098470;CS_194_047;CALLE ALCALDE ANDRES MADRID DAVILA, 50
27;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453451,052;4472003,354;40,397334338807;-3,548518098470;CS_194_047;CALLE ALCALDE ANDRES MADRID DAVILA, 50
28;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453701,177;4472634,505;40,403034175600;-3,545616733472;CL_194_061;CALLE CUESTA DEL VILLORIO, 50
29;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453701,177;4472634,505;40,403034175600;-3,545616733472;CL_194_061;CALLE CUESTA DEL VILLORIO, 50
30;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453701,177;4472634,505;40,403034175600;-3,545616733472;CL_194_061;CALLE CUESTA DEL VILLORIO, 50
31;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453701,177;4472634,505;40,403034175600;-3,545616733472;CL_194_061;CALLE CUESTA DEL VILLORIO, 50
32;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453701,177;4472634,505;40,403034175600;-3,545616733472;CL_194_061;CALLE CUESTA DEL VILLORIO, 50
33;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453272,527;4472778,004;40,404302976967;-3,550678550347;CL_194_054;CALLE ERIAL DE LA ABUELA, 2
34;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453272,527;4472778,004;40,404302976967;-3,550678550347;CL_194_054;CALLE ERIAL DE LA ABUELA, 2
35;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453272,527;4472778,004;40,404302976967;-3,550678550347;CL_194_054;CALLE ERIAL DE LA ABUELA, 2
36;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453753,965;4472100,582;40,398227120302;-3,544955883179;CS_194_071;CALLE ALCALDE PEDRO GUTIERREZ, 53
37;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453753,965;4472100,582;40,398227120302;-3,544955883179;CS_194_071;CALLE ALCALDE PEDRO GUTIERREZ, 53
38;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453451,038;4472012,002;40,397412245857;-3,548518895689;CL_194_055;CALLE ALCALDE ANDRES MADRID DAVILA, 50
39;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453451,038;4472012,002;40,397412245857;-3,548518895689;CL_194_055;CALLE ALCALDE ANDRES MADRID DAVILA, 50
40;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453451,038;4472012,002;40,397412245857;-3,548518895689;CL_194_055;CALLE ALCALDE ANDRES MADRID DAVILA, 50
41;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453386,209;4473122,058;40,407408847419;-3,549364077435;CS_194_063;CALLE CERRO DEL MONTE, 111
42;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453386,209;4473122,058;40,407408847419;-3,549364077435;CS_194_063;CALLE CERRO DEL MONTE, 111
43;Papel-Cartón;PC 3100 CS;2;BARAJAS;AEROPUERTO;Carga Superior;453419,465;4477796,919;40,449525219120;-3,549314701894;CS_212_021;CAMINO AEROPUERTO, 8
44;Vidrio;V 3100 CS;2;BARAJAS;AEROPUERTO;Carga Superior;453419,465;4477796,919;40,449525219120;-3,549314701894;CS_212_021;CAMINO AEROPUERTO, 8
45;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453272,527;4472778,004;40,404302976967;-3,550678550347;CS_194_051;CALLE ERIAL DE LA ABUELA, 2
46;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453272,527;4472778,004;40,404302976967;-3,550678550347;CS_194_051;CALLE ERIAL DE LA ABUELA, 2
47;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453753,98;4472093,576;40,398164005673;-3,544955197533;CL_194_074;CALLE ALCALDE PEDRO GUTIERREZ, 53
48;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453753,98;4472093,576;40,398164005673;-3,544955197533;CL_194_074;CALLE ALCALDE PEDRO GUTIERREZ, 53
49;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453753,98;4472093,576;40,398164005673;-3,544955197533;CL_194_074;CALLE ALCALDE PEDRO GUTIERREZ, 53
50;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453451,406;4472571,002;40,402448165932;-3,548555432854;CL_194_046;CALLE SUERTES DE LA VILLA, 14
51;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453451,406;4472571,002;40,402448165932;-3,548555432854;CL_194_046;CALLE SUERTES DE LA VILLA, 14
52;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453451,406;4472571,002;40,402448165932;-3,548555432854;CL_194_046;CALLE SUERTES DE LA VILLA, 14
53;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453599,793;4472143,21;40,398602570120;-3,546775649804;CL_194_084;CALLE FERENC PUSKAS, 199
54;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453599,793;4472143,21;40,398602570120;-3,546775649804;CL_194_084;CALLE FERENC PUSKAS, 199
55;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453599,793;4472143,21;40,398602570120;-3,546775649804;CL_194_084;CALLE FERENC PUSKAS, 199
56;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453491,85;4471832,24;40,395795091439;-3,548024869925;CL_194_056;CALLE LUIS OCAÑA, 180
57;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453491,85;4471832,24;40,395795091439;-3,548024869925;CL_194_056;CALLE LUIS OCAÑA, 180
58;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453491,85;4471832,24;40,395795091439;-3,548024869925;CL_194_056;CALLE LUIS OCAÑA, 180
59;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453597,874;4472520,028;40,401997128674;-3,546825728416;CS_194_049;CALLE MAYORAZGO DE DUARTE, 16
60;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453597,874;4472520,028;40,401997128674;-3,546825728416;CS_194_049;CALLE MAYORAZGO DE DUARTE, 16
61;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453598,51;4472142,528;40,398596354650;-3,546790718196;CS_194_083;CALLE FERENC PUSKAS, 199
62;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453598,51;4472142,528;40,398596354650;-3,546790718196;CS_194_083;CALLE FERENC PUSKAS, 199
63;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453598,51;4472142,528;40,398596354650;-3,546790718196;CS_194_083;CALLE FERENC PUSKAS, 199
64;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,879;4472521,006;40,402005939524;-3,546825740789;CL_194_045;CALLE MAYORAZGO DE DUARTE, 1
65;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,879;4472521,006;40,402005939524;-3,546825740789;CL_194_045;CALLE MAYORAZGO DE DUARTE, 1
66;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,879;4472521,006;40,402005939524;-3,546825740789;CL_194_045;CALLE MAYORAZGO DE DUARTE, 1
67;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453429,915;4472349,953;40,400455586363;-3,548792512638;CL_194_042;CALLE ALCALDE ANDRES MADRID DAVILA, 142
68;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453429,915;4472349,953;40,400455586363;-3,548792512638;CL_194_042;CALLE ALCALDE ANDRES MADRID DAVILA, 142
69;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453429,915;4472349,953;40,400455586363;-3,548792512638;CL_194_042;CALLE ALCALDE ANDRES MADRID DAVILA, 142
70;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453494,85;4471832,247;40,395795322026;-3,547989521721;CS_194_020;CALLE LUIS OCAÑA, 180
71;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453494,85;4471832,247;40,395795322026;-3,547989521721;CS_194_020;CALLE LUIS OCAÑA, 180
72;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453451,487;4472979,789;40,406130833576;-3,548584374813;CS_194_062;CALLE SUERTES DE LA VILLA, 170
73;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453451,487;4472979,789;40,406130833576;-3,548584374813;CS_194_062;CALLE SUERTES DE LA VILLA, 170
74;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;REJAS;Carga Superior;453575,816;4477506,201;40,446914977150;-3,547449715105;CS_206_076;CALLE PROVISIONAL IVECO-PEGASO TRES, 57
75;Vidrio;V 3100 CS;2;SAN BLAS-CANILLEJAS;REJAS;Carga Superior;453575,816;4477506,201;40,446914977150;-3,547449715105;CS_206_076;CALLE PROVISIONAL IVECO-PEGASO TRES, 57
76;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453727,823;4472467,596;40,401532012748;-3,545290599286;CL_194_090;CALLE CASA DE TILLY, 63
77;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453727,823;4472467,596;40,401532012748;-3,545290599286;CL_194_090;CALLE CASA DE TILLY, 63
78;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453727,823;4472467,596;40,401532012748;-3,545290599286;CL_194_090;CALLE CASA DE TILLY, 63
79;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453451,47;4472977,261;40,406108058493;-3,548584390252;CL_194_066;CALLE SUERTES DE LA VILLA, 170
80;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453451,47;4472977,261;40,406108058493;-3,548584390252;CL_194_066;CALLE SUERTES DE LA VILLA, 170
81;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453451,47;4472977,261;40,406108058493;-3,548584390252;CL_194_066;CALLE SUERTES DE LA VILLA, 170
82;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453363,083;4473271,972;40,408758089994;-3,549647602459;CL_194_093;CALLE CERRO DE LOS HOMBRES, 77
83;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453363,083;4473271,972;40,408758089994;-3,549647602459;CL_194_093;CALLE CERRO DE LOS HOMBRES, 77
84;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453363,083;4473271,972;40,408758089994;-3,549647602459;CL_194_093;CALLE CERRO DE LOS HOMBRES, 77
85;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453355,816;4473271,601;40,408754340591;-3,549733218035;CS_194_089;CALLE CERRO DE LOS HOMBRES, 77
86;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453355,816;4473271,601;40,408754340591;-3,549733218035;CS_194_089;CALLE CERRO DE LOS HOMBRES, 77
87;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453299,975;4472913,99;40,405529581452;-3,550365070557;CS_194_026;CALLE CERRO DEL CAMPO, 31
88;Papel-Cartón;PC 3100 CS;2;SAN BLAS-CANILLEJAS;REJAS;Carga Superior;453332,732;4477563,883;40,447421006205;-3,550320357322;CS_206_075;CALLE PROVISIONAL IVECO-PEGASO TRES, 39
89;Vidrio;V 3100 CS;2;SAN BLAS-CANILLEJAS;REJAS;Carga Superior;453332,732;4477563,883;40,447421006205;-3,550320357322;CS_206_075;CALLE PROVISIONAL IVECO-PEGASO TRES, 39
90;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453735,134;4472260,325;40,399665162494;-3,545189383592;CS_194_070;CALLE VEREDA DE LA CEBOLLA, 72
91;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453735,134;4472260,325;40,399665162494;-3,545189383592;CS_194_070;CALLE VEREDA DE LA CEBOLLA, 72
92;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453429,899;4472352,952;40,400482602750;-3,548792920568;CS_194_019;CALLE ALCALDE ANDRES MADRID DAVILA, 142
93;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453429,899;4472352,952;40,400482602750;-3,548792920568;CS_194_019;CALLE ALCALDE ANDRES MADRID DAVILA, 142
94;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453734,005;4472272,009;40,399770358237;-3,545203536383;CL_194_012;CALLE VEREDA DE LA CEBOLLA, 53
95;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453734,005;4472272,009;40,399770358237;-3,545203536383;CL_194_012;CALLE VEREDA DE LA CEBOLLA, 53
96;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453734,005;4472272,009;40,399770358237;-3,545203536383;CL_194_012;CALLE VEREDA DE LA CEBOLLA, 53
97;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453451,145;4472235,809;40,399428476986;-3,548533998229;CL_194_073;CALLE ALCALDE ANDRES MADRID DAVILA, 112
98;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453451,145;4472235,809;40,399428476986;-3,548533998229;CL_194_073;CALLE ALCALDE ANDRES MADRID DAVILA, 112
99;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453451,145;4472235,809;40,399428476986;-3,548533998229;CL_194_073;CALLE ALCALDE ANDRES MADRID DAVILA, 112
100;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453451,144;4472233,23;40,399405243323;-3,548533821443;CS_194_068;CALLE ALCALDE ANDRES MADRID DAVILA, 112
101;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453451,144;4472233,23;40,399405243323;-3,548533821443;CS_194_068;CALLE ALCALDE ANDRES MADRID DAVILA, 112
102;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453145;4472916,338;40,405542026517;-3,552191561001;CL_194_011;CALLE CERRO DEL CAMPO, 1
103;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453145;4472916,338;40,405542026517;-3,552191561001;CL_194_011;CALLE CERRO DEL CAMPO, 1
104;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453145;4472916,338;40,405542026517;-3,552191561001;CL_194_011;CALLE CERRO DEL CAMPO, 1
105;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453253,003;4473123,958;40,407418494727;-3,550934039714;CL_194_020;CALLE CERRO DEL MONTE, 15
106;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453253,003;4473123,958;40,407418494727;-3,550934039714;CL_194_020;CALLE CERRO DEL MONTE, 15
107;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453253,003;4473123,958;40,407418494727;-3,550934039714;CL_194_020;CALLE CERRO DEL MONTE, 15
108;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453253,003;4473123,958;40,407418494727;-3,550934039714;CL_194_020;CALLE CERRO DEL MONTE, 15
109;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453253,003;4473123,958;40,407418494727;-3,550934039714;CL_194_020;CALLE CERRO DEL MONTE, 15
110;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453253,003;4473123,958;40,407418494727;-3,550934039714;CL_194_020;CALLE CERRO DEL MONTE, 15
111;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453253,003;4473123,958;40,407418494727;-3,550934039714;CL_194_020;CALLE CERRO DEL MONTE, 15
112;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453253,003;4473123,958;40,407418494727;-3,550934039714;CL_194_020;CALLE CERRO DEL MONTE, 15
113;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453253,003;4473123,958;40,407418494727;-3,550934039714;CL_194_020;CALLE CERRO DEL MONTE, 15
114;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;452987,86;4473015,323;40,406424898752;-3,554050703942;CS_194_009;CALLE DIALOGO, 71
115;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;452987,86;4473015,323;40,406424898752;-3,554050703942;CS_194_009;CALLE DIALOGO, 71
116;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453212,722;4471832,071;40,395777934636;-3,551313794852;CS_194_093;CALLE LUIS OCAÑA, 52
117;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453212,722;4471832,071;40,395777934636;-3,551313794852;CS_194_093;CALLE LUIS OCAÑA, 52
118;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453011,958;4472176,462;40,398869167971;-3,553704791192;CL_194_089;CALLE PILAR BELLOSILLO, 2
119;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453011,958;4472176,462;40,398869167971;-3,553704791192;CL_194_089;CALLE PILAR BELLOSILLO, 2
120;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453011,958;4472176,462;40,398869167971;-3,553704791192;CL_194_089;CALLE PILAR BELLOSILLO, 2
121;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453181,759;4472082,184;40,398029403768;-3,551697019714;CS_194_046;CALLE PILAR BELLOSILLO, 12
122;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453181,759;4472082,184;40,398029403768;-3,551697019714;CS_194_046;CALLE PILAR BELLOSILLO, 12
123;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453163,999;4473102,067;40,407216281586;-3,551981333990;CL_194_016;CALLE CERRO DEL MONTE, 2
124;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453163,999;4473102,067;40,407216281586;-3,551981333990;CL_194_016;CALLE CERRO DEL MONTE, 2
125;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453163,999;4473102,067;40,407216281586;-3,551981333990;CL_194_016;CALLE CERRO DEL MONTE, 2
126;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453163,999;4473102,067;40,407216281586;-3,551981333990;CL_194_016;CALLE CERRO DEL MONTE, 2
127;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453163,999;4473102,067;40,407216281586;-3,551981333990;CL_194_016;CALLE CERRO DEL MONTE, 2
128;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453163,999;4473102,067;40,407216281586;-3,551981333990;CL_194_016;CALLE CERRO DEL MONTE, 2
129;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;452977,376;4473101,86;40,407203896460;-3,554180649335;CS_194_008;CALLE IGUALDAD, 42
130;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;452977,376;4473101,86;40,407203896460;-3,554180649335;CS_194_008;CALLE IGUALDAD, 42
131;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453039,221;4472904,653;40,405430799385;-3,553437261391;CS_194_034;CALLE ILUSION, 62
132;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453039,221;4472904,653;40,405430799385;-3,553437261391;CS_194_034;CALLE ILUSION, 62
133;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453062,998;4471950,466;40,396836102418;-3,553086704225;CS_194_037;CALLE MARIA PITA, 42
134;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453062,998;4471950,466;40,396836102418;-3,553086704225;CS_194_037;CALLE MARIA PITA, 42
135;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453166,999;4473102,064;40,407216423335;-3,551945979104;CS_194_014;CALLE CERRO DEL MONTE, 2
136;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453166,999;4473102,064;40,407216423335;-3,551945979104;CS_194_014;CALLE CERRO DEL MONTE, 2
137;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453166,999;4473102,064;40,407216423335;-3,551945979104;CS_194_014;CALLE CERRO DEL MONTE, 2
138;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453166,999;4473102,064;40,407216423335;-3,551945979104;CS_194_014;CALLE CERRO DEL MONTE, 2
139;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;452992,648;4471941,413;40,396750578152;-3,553914975189;CL_194_081;CALLE ANNA FRANK, 1
140;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;452992,648;4471941,413;40,396750578152;-3,553914975189;CL_194_081;CALLE ANNA FRANK, 1
141;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;452992,648;4471941,413;40,396750578152;-3,553914975189;CL_194_081;CALLE ANNA FRANK, 1
